Data di inizio;Data di fine;Tipo risposta;Avanzamento;Durata (in secondi);Terminato;Data registrata;ID di risposta;Canale di distribuzione;Lingua dell'utente;"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - Unforeseen events upset me greatly.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - It frustrates me not having all the information I need.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - Uncertainty keeps me from living a full life.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - One should always look ahead so as to avoid surprises.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - A small unforeseen event can spoil everything, even with the best of planning.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - When itü??s time to act, uncertainty paralyses me.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - Please, answer ""entirely characteristic of me"" to this item.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - When I am uncertain I canü??t function very well.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I always want to know what the future has in store for me.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I canü??t stand being taken by surprise.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - The smallest doubt can stop me from acting.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I should be able to organize everything in advance.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I must get away from all uncertain situations.";Please, type your age.;Please, select your gender.;Have you experienced any issues with the internet conncetion and/or the uploading of the pictures/sounds?;You have now successfully completed the survey, and you will be redirected to Prolific to complete your submission.If you have any comments please let us know by filling the box below.Thank you for your valuable contribution!;Total score;Prospective subscale;Inhibitory subscale;AttentionCheck;workerId;batchId;studyId;subject_nr;PROLIFIC_PID;SESSION_ID;STUDY_ID
20/07/2021 05:14;20/07/2021 05:16;Indirizzo IP;100;124;VERO;20/07/2021 05:16;R_2RQZLLbuCpRobfH;anonymous;EN;A little characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;25;Male;No, everything worked fine!;;47;25;22;1;14647;507;496;23963;60b8ed2771125e521f015f26;60f6a6c88698e858e359d810;60f57e67967f64a9e6d4f193
20/07/2021 05:03;20/07/2021 05:05;Indirizzo IP;100;97;VERO;20/07/2021 05:05;R_57oOM2z8dfbw61b;anonymous;EN;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Not at all characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;21;Male;No, everything worked fine!;;45;27;18;1;14689;507;496;24006;60b97d2809d43ab2f0614bb9;60f6a6ee7a4cb2273630dd10;60f57e67967f64a9e6d4f193
20/07/2021 05:02;20/07/2021 05:04;Indirizzo IP;100;84;VERO;20/07/2021 05:04;R_XUnAykfctaHkuJ3;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;24;Female;No, everything worked fine!;;44;27;17;1;14674;507;496;23990;60ba28cb1d510a0ba36917e3;60f6a6d577f0dba97c9c0f44;60f57e67967f64a9e6d4f193
20/07/2021 04:00;20/07/2021 04:01;Indirizzo IP;100;82;VERO;20/07/2021 04:01;R_3O6BvGDYWctvvDq;anonymous;EN;Somewhat characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;21;Male;No, everything worked fine!;;51;28;23;1;14542;507;496;23859;60ca0fac308adc24067acbcd;60f6980baee337fe05819a87;60f57e67967f64a9e6d4f193
20/07/2021 05:12;20/07/2021 05:14;Indirizzo IP;100;133;VERO;20/07/2021 05:14;R_3ne0SI5MqHhyjkV;anonymous;EN;Not at all characteristic of me;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;Not at all characteristic of me;A little characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;29;Male;No, everything worked fine!;;23;16;7;1;14766;507;496;24073;60cf2a3f64e3ce2c28a5ff40;60f6a6fe990030fe2aa1f17d;60f57e67967f64a9e6d4f193
20/07/2021 05:26;20/07/2021 05:28;Indirizzo IP;100;139;VERO;20/07/2021 05:28;R_1EZLbjiy4uiJzZq;anonymous;EN;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;19;Female;No, everything worked fine!;;30;21;9;1;14775;507;496;24082;60d242e7d32408e23e2ed2a4;60f6a6f47bc7a76f778e9e64;60f57e67967f64a9e6d4f193
20/07/2021 04:07;20/07/2021 04:09;Indirizzo IP;100;105;VERO;20/07/2021 04:09;R_1lfYlSeKWaVsLq9;anonymous;EN;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;21;Male;No, everything worked fine!;;39;24;15;1;14551;507;496;23868;60d4da4d9d5081bcbc3fa50d;60f6996bf2ef42d3e26f7f98;60f57e67967f64a9e6d4f193
20/07/2021 10:44;20/07/2021 10:46;Indirizzo IP;100;120;VERO;20/07/2021 10:46;R_Bt5ZNnw7IfCz3ep;anonymous;EN;Not at all characteristic of me;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;20;Male;No, everything worked fine!;;30;20;10;1;14873;507;496;24161;60d5f605483d5fe184fcaad8;60f6f531476f80426b1d75ae;60f57e67967f64a9e6d4f193
20/07/2021 05:03;20/07/2021 05:05;Indirizzo IP;100;95;VERO;20/07/2021 05:05;R_3peW86qBHr6vZV8;anonymous;EN;Very characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;24;Female;No, everything worked fine!;;36;26;10;1;14667;507;496;23983;60d7918fbbedf133d30701bb;60f6a6db2f40c8d5e9f86492;60f57e67967f64a9e6d4f193
20/07/2021 04:21;20/07/2021 04:23;Indirizzo IP;100;126;VERO;20/07/2021 04:23;R_2WAJw9JpWeVhPUI;anonymous;EN;Very characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;24;Female;No, everything worked fine!;;38;25;13;1;14593;507;496;23910;60db8242567a7a822fb58296;60f69cf5790c145bed59d22f;60f57e67967f64a9e6d4f193
20/07/2021 04:19;20/07/2021 04:20;Indirizzo IP;100;73;VERO;20/07/2021 04:20;R_vB1fIA7weOpWLrH;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;21;Male;No, everything worked fine!;;41;27;14;1;14595;507;496;23912;60ddae117b720ce001616388;60f69cb349a6aec069ddf7ce;60f57e67967f64a9e6d4f193
20/07/2021 04:21;20/07/2021 04:22;Indirizzo IP;100;76;VERO;20/07/2021 04:22;R_30knmR6aqUdjMEj;anonymous;EN;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;27;Female;No, everything worked fine!;;50;28;22;1;14585;507;496;23902;60de11d08bb67fc2a1e19c6a;60f69c6dc88110370eb9c097;60f57e67967f64a9e6d4f193
20/07/2021 10:37;20/07/2021 10:38;Indirizzo IP;100;90;VERO;20/07/2021 10:38;R_3jdi2vrVNcaHrrE;anonymous;EN;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;23;Male;No, everything worked fine!;;35;25;10;1;14866;507;496;24154;60e052e35d0658f5716b1d19;60f6f53255ed43df844f0544;60f57e67967f64a9e6d4f193
20/07/2021 04:06;20/07/2021 04:09;Indirizzo IP;100;140;VERO;20/07/2021 04:09;R_3ndrMatvFdCyJt1;anonymous;EN;A little characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;A little characteristic of me;31;Male;No, everything worked fine!;;26;18;8;1;14547;507;496;23864;60e46d34a32bd04bbd7e5e6f;60f698936847d4d17bb3524a;60f57e67967f64a9e6d4f193
20/07/2021 05:25;20/07/2021 05:28;Indirizzo IP;100;132;VERO;20/07/2021 05:28;R_2bhDRd6tWZGpJmN;anonymous;EN;A little characteristic of me;Very characteristic of me;Not at all characteristic of me;Very characteristic of me;Very characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;26;Female;No, everything worked fine!;;37;24;13;1;14780;507;496;24087;60e58528fd3b4ab228e956cd;60f6a96f1d13b2f46509b2b3;60f57e67967f64a9e6d4f193
20/07/2021 04:16;20/07/2021 04:17;Indirizzo IP;100;87;VERO;20/07/2021 04:17;R_129HObKTYpBCmzH;anonymous;EN;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;22;Male;No, everything worked fine!;;50;28;22;1;14567;507;496;23884;60e5b1fda589e76c496c28f3;60f69b77848e9323d267628e;60f57e67967f64a9e6d4f193
20/07/2021 04:29;20/07/2021 04:30;Indirizzo IP;100;88;VERO;20/07/2021 04:30;R_u1D8rvyZtx9Kg1P;anonymous;EN;Entirely characteristic of me;Entirely characteristic of me;A little characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;28;Female;No, everything worked fine!;;37;27;10;1;14617;507;496;23934;60e614849f95cdf339fff24c;60f69de4a612ed765d8212b3;60f57e67967f64a9e6d4f193
20/07/2021 04:20;20/07/2021 04:22;Indirizzo IP;100;116;VERO;20/07/2021 04:22;R_3nIfAt4yNIUVW98;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;18;Female;No, everything worked fine!;The vomiting was a bit much;44;24;20;1;14582;507;496;23899;60e6c19d94c3bb7eba3762c5;60f69c3633a91d84f367cf75;60f57e67967f64a9e6d4f193
20/07/2021 04:53;20/07/2021 04:59;Indirizzo IP;100;335;VERO;20/07/2021 04:59;R_3lDG8X7rAKVMhOs;anonymous;EN;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;25;Male;No, everything worked fine!;No questions everything went fine thank you ;50;30;20;1;14605;507;496;23922;60e6c87f20319159b08321ab;60f69d64140003c50dac8e2a;60f57e67967f64a9e6d4f193
20/07/2021 05:01;20/07/2021 05:02;Indirizzo IP;100;80;VERO;20/07/2021 05:02;R_OI0HXtk0i7OYCRz;anonymous;EN;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;19;Female;No, everything worked fine!;;42;23;19;1;14684;507;496;24000;60e701d531509cad09477bb8;60f6a6edbbc2e8594a0012b8;60f57e67967f64a9e6d4f193
20/07/2021 05:09;20/07/2021 05:11;Indirizzo IP;100;90;VERO;20/07/2021 05:11;R_27VzZQrs10haVbN;anonymous;EN;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Not at all characteristic of me;A little characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;33;Male;No, everything worked fine!;;35;20;15;1;14749;507;496;24057;60e8436787de18264e199a69;60f6a7a85ccfe2a0e10154d7;60f57e67967f64a9e6d4f193
20/07/2021 05:10;20/07/2021 05:12;Indirizzo IP;100;99;VERO;20/07/2021 05:12;R_32PUo2DHlIz6vqH;anonymous;EN;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;A little characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Not at all characteristic of me;A little characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Very characteristic of me;Not at all characteristic of me;25;Male;No, everything worked fine!;i enjoyed the study;23;16;7;1;14740;507;496;24055;60eb4a54a50a6ec6af2b7aff;60f6a75c41ffac61f5356c23;60f57e67967f64a9e6d4f193
20/07/2021 04:05;20/07/2021 04:07;Indirizzo IP;100;136;VERO;20/07/2021 04:07;R_2fx7wzGXtrYdULo;anonymous;EN;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Not at all characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;23;Male;No, everything worked fine!;Thank you;33;23;10;1;14556;507;496;23873;60eb6fa595b9d3ac216e91bc;60f6992f37b08e54e583bde8;60f57e67967f64a9e6d4f193
20/07/2021 05:14;20/07/2021 05:16;Indirizzo IP;100;143;VERO;20/07/2021 05:16;R_2q26YUpAxdKAV4N;anonymous;EN;Somewhat characteristic of me;Entirely characteristic of me;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Very characteristic of me;Not at all characteristic of me;42;Female;No, everything worked fine!;;33;26;7;1;14763;507;496;24069;60ec578450774bee53ad08de;60f6a72541ffac61f5356c1f;60f57e67967f64a9e6d4f193
20/07/2021 05:02;20/07/2021 05:04;Indirizzo IP;100;103;VERO;20/07/2021 05:04;R_1CwjASgp0qj2s8V;anonymous;EN;Very characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;20;Male;No, everything worked fine!;;34;23;11;1;14665;507;496;23981;60ed917a71051ceb8ec151c9;60f6a6d7f7c55d8e4897857a;60f57e67967f64a9e6d4f193
20/07/2021 04:24;20/07/2021 04:25;Indirizzo IP;100;86;VERO;20/07/2021 04:25;R_20ZCFedBegPF70T;anonymous;EN;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;20;Female;No, everything worked fine!;;50;30;20;1;14618;507;496;23935;60edaf7c3ad8a0b1f150cd30;60f69dea40135beb09518926;60f57e67967f64a9e6d4f193
20/07/2021 04:27;20/07/2021 04:29;Indirizzo IP;100;123;VERO;20/07/2021 04:29;R_2xRBiIcSLukvz6c;anonymous;EN;Very characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;Not at all characteristic of me;Very characteristic of me;A little characteristic of me;22;Female;No, everything worked fine!;It took 55 minutes, not 25. This should have been disclosed to me. ;33;24;9;1;14610;507;496;23927;60edca0c34d4d4b234db8164;60f69d8f5b0429dc763ff1b9;60f57e67967f64a9e6d4f193
20/07/2021 05:21;20/07/2021 05:24;Indirizzo IP;100;166;VERO;20/07/2021 05:24;R_vcpRNYl9g87wPUB;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Entirely characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;37;Male;No, everything worked fine!;;40;28;12;1;14782;507;496;24089;60eebba89f75b48fc7c819a8;60f6a9eddf713c5cba157256;60f57e67967f64a9e6d4f193
20/07/2021 04:12;20/07/2021 04:15;Indirizzo IP;100;157;VERO;20/07/2021 04:15;R_WBfpzFQ1nzOOO53;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;23;Female;No, everything worked fine!;;42;25;17;1;14560;507;496;23877;60eee976c85c395201e05d6c;60f69a5e39c7508c11f2ab06;60f57e67967f64a9e6d4f193
20/07/2021 04:23;20/07/2021 04:26;Indirizzo IP;100;161;VERO;20/07/2021 04:26;R_22RJOl5W75BRVd6;anonymous;EN;Not at all characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;23;Female;No, everything worked fine!;;40;23;17;1;14544;507;496;23861;60ef42443bf50c7838c8bd73;60f697af66150006cfd95089;60f57e67967f64a9e6d4f193
20/07/2021 04:11;20/07/2021 04:13;Indirizzo IP;100;128;VERO;20/07/2021 04:13;R_2aqsuW2TrB1onD1;anonymous;EN;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;A little characteristic of me;Not at all characteristic of me;Very characteristic of me;Not at all characteristic of me;A little characteristic of me;23;Male;No, everything worked fine!;none;36;18;18;1;14561;507;496;23878;60ef4432df04da6821fec20a;60f69aaa407ee78c14b36c38;60f57e67967f64a9e6d4f193
20/07/2021 05:31;20/07/2021 05:32;Indirizzo IP;100;106;VERO;20/07/2021 05:32;R_1MWIjk9gEq9S3UE;anonymous;EN;A little characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Entirely characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;19;Male;No, everything worked fine!;;33;24;9;1;14735;507;496;24050;60f030dca19a06db1b50d16a;60f6a70b97e67c882496e002;60f57e67967f64a9e6d4f193
20/07/2021 04:04;20/07/2021 04:05;Indirizzo IP;100;84;VERO;20/07/2021 04:05;R_09i01RR008b2JFL;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;25;Male;No, everything worked fine!;;38;23;15;1;14557;507;496;23874;60f14f266cba78a393c2ae36;60f69a05fb73db3da03bbe5b;60f57e67967f64a9e6d4f193
20/07/2021 04:23;20/07/2021 04:25;Indirizzo IP;100;85;VERO;20/07/2021 04:25;R_10JfnlqSPqBRWeq;anonymous;EN;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;22;Male;No, everything worked fine!;;45;27;18;1;14592;507;496;23909;60f40f3550a8b114656c0ffb;60f69cecb422c4bea43abdbd;60f57e67967f64a9e6d4f193
